place,Total_Time,Swim_Time,Bike_Time,Run_Time
520,37749.0,4698.0,18799.0,13949.0
521,37788.0,4479.0,20298.0,12698.0
522,37789.0,4548.0,19432.0,13479.0
523,37789.0,3969.0000000000005,19342.0,14150.0
524,37800.0,4093.0000000000005,20431.0,12717.0
525,37806.0,4376.0,19046.0,14094.0
526,37809.0,3734.0000000000005,,
527,37819.0,3873.0000000000005,18342.0,15216.000000000002
528,37823.0,4247.0,19676.0,13422.0
529,37825.0,3633.0,20325.0,13431.0
530,37836.0,4034.0000000000005,19618.0,13875.0
531,37851.0,3927.0000000000005,20027.0,13379.0
532,37855.0,4228.0,20183.0,12957.0
533,37855.0,4661.0,19465.0,13413.0
534,37858.0,4441.0,19674.0,13416.0
535,37863.0,4044.0000000000005,19232.0,14182.0
536,37883.0,4552.0,21310.0,11717.0
537,37884.0,4538.0,20635.0,12293.0
538,37892.0,4666.0,19882.0,12779.0
539,37898.0,5308.0,19058.0,13126.0
540,37904.0,3686.0000000000005,19963.0,14036.0
541,37907.0,3988.0000000000005,19080.0,14299.0
542,37933.0,4393.0,17849.0,15343.000000000002
543,37935.0,4261.0,19439.0,13762.0
544,37950.0,4028.0000000000005,19870.0,13657.0
545,37952.0,4178.0,20018.0,13451.0
546,37954.0,3868.0000000000005,19846.0,13951.0
547,37958.0,3933.0000000000005,20186.0,13527.0
548,37967.0,4809.0,18828.0,13836.0
549,37982.0,4343.0,19641.0,13577.0
550,37995.0,4217.0,19477.0,13938.0
551,37995.0,4010.0000000000005,19508.0,14021.0
552,37996.0,4179.0,18740.0,14731.000000000002
553,37996.0,4212.0,19192.0,14200.0
554,37997.0,4030.0000000000005,18995.0,14660.000000000002
555,38005.0,3662.0000000000005,18743.0,15077.000000000002
556,38016.0,3907.0000000000005,19513.0,14328.0
557,38019.0,3836.0000000000005,19856.0,13899.0
558,38021.0,4577.0,19509.0,13486.0
559,38024.0,4511.0,19610.0,13406.0
560,38027.0,3941.0000000000005,19449.0,14273.0
561,38035.0,4208.0,20097.0,13212.0
